Strain,Test,Marker,Call
CE_M_09_1073,hexMLST,CAMP1019,20
CE_M_09_1073,hexMLST,CAMP1537,44
CE_M_09_1073,hexMLST,CAMP0182,6
CE_M_09_1073,hexMLST,CAMP0028,38
CE_M_09_1073,hexMLST,CAMP0024,71
CE_M_09_1073,hexMLST,CAMP1124,
CE_M_09_1073,hexMLST,CAMP0338,27
CE_M_09_1073,hexMLST,CAMP1211,
CE_M_09_1073,hexMLST,CAMP1042,29
CE_M_09_1073,hexMLST,CAMP1048,54
CE_M_09_1073,hexMLST,CAMP0104,78
CE_M_09_1073,hexMLST,CAMP1355,
CE_M_09_1073,hexMLST,CAMP0100,55
CE_M_09_1073,hexMLST,CAMP1357,60
CE_M_09_1073,hexMLST,CAMP0111,40
CE_M_09_1073,hexMLST,CAMP1529,3
CE_M_09_1073,hexMLST,CAMP0532,6
CE_M_09_1073,hexMLST,CAMP0633,6
CE_M_09_1073,hexMLST,CAMP0535,48
CE_M_09_1073,hexMLST,CAMP0905,51
CE_M_09_1073,hexMLST,CAMP1116,48
CE_M_09_1073,hexMLST,CAMP1262,68
CE_M_09_1073,hexMLST,CAMP1053,45
CE_M_09_1073,hexMLST,CAMP0059,60
CE_M_09_1073,hexMLST,CAMP1198,65
CE_M_09_1073,hexMLST,CAMP0399,56
CE_M_09_1073,hexMLST,CAMP0117,62
CE_M_09_1073,hexMLST,CAMP0502,68
CE_M_09_1073,hexMLST,CAMP0052,52
CE_M_09_1073,hexMLST,CAMP0501,66
CE_M_09_1073,hexMLST,CAMP1197,44
CE_M_09_1073,hexMLST,CAMP0504,59
CE_M_09_1073,hexMLST,CAMP0505,51
CE_M_09_1073,hexMLST,CAMP0918,6
CE_M_09_1073,hexMLST,CAMP0626,
CE_M_09_1073,hexMLST,CAMP0857,55
CE_M_09_1073,hexMLST,CAMP1294,18
CE_M_09_1073,hexMLST,CAMP1104,44
CE_M_09_1073,hexMLST,CAMP0597,17
CE_M_09_1073,hexMLST,CAMP1100,19
CE_M_09_1073,hexMLST,CAMP1581,3
CE_M_09_1073,hexMLST,CAMP0455,66
CE_M_09_1073,hexMLST,CAMP1275,
CE_M_09_1073,hexMLST,CAMP0355,11
CE_M_09_1073,hexMLST,CAMP1185,70
CE_M_09_1073,hexMLST,CAMP0041,37
CE_M_09_1073,hexMLST,CAMP1186,18
CE_M_09_1073,hexMLST,CAMP1372,74
CE_M_09_1073,hexMLST,CAMP0757,65
CE_M_09_1073,hexMLST,CAMP0755,16
CE_M_09_1073,hexMLST,CAMP1502,3
CE_M_09_1073,hexMLST,CAMP0969,
CE_M_09_1073,hexMLST,CAMP1508,3
CE_M_09_1073,hexMLST,CAMP0614,6
CE_M_09_1073,hexMLST,CAMP0967,
CE_M_09_1073,hexMLST,CAMP1503,17
CE_M_09_1073,hexMLST,CAMP0847,15
CI_0215,hexMLST,CAMP1074,
CI_0215,hexMLST,CAMP0367,
CI_0215,hexMLST,CAMP0768,3
CI_0215,hexMLST,CAMP1364,66
CI_0215,hexMLST,CAMP1571,52
CI_0215,hexMLST,CAMP1578,46
CI_0215,hexMLST,CAMP0972,52
CI_0215,hexMLST,CAMP0471,53
CI_0215,hexMLST,CAMP0374,57
CI_0215,hexMLST,CAMP0273,66
CI_0215,hexMLST,CAMP1311,55
CI_0215,hexMLST,CAMP1313,2
CI_0215,hexMLST,CAMP0775,60
CI_0215,hexMLST,CAMP1322,64
CI_0215,hexMLST,CAMP1319,6
CI_0215,hexMLST,CAMP1567,48
CI_0215,hexMLST,CAMP1085,5
CI_0215,hexMLST,CAMP0572,59
CI_0215,hexMLST,CAMP0867,46
CI_0215,hexMLST,CAMP1568,48
CI_0215,hexMLST,CAMP0881,63
CI_0215,hexMLST,CAMP0015,56
CI_0215,hexMLST,CAMP1301,3
CI_0215,hexMLST,CAMP1158,6
CI_0215,hexMLST,CAMP0950,
CI_0215,hexMLST,CAMP1411,15
CI_0215,hexMLST,CAMP1416,6
CI_0215,hexMLST,CAMP0540,58
CI_0215,hexMLST,CAMP1022,
CI_0215,hexMLST,CAMP0319,14
CI_0215,hexMLST,CAMP0792,15
CI_0215,hexMLST,CAMP0791,3
CI_0215,hexMLST,CAMP1541,18
CI_0215,hexMLST,CAMP0556,3
CI_0215,hexMLST,CAMP0351,56
CI_0215,hexMLST,CAMP0496,56
CI_0215,hexMLST,CAMP1384,65
CI_0215,hexMLST,CAMP1280,6
CI_0215,hexMLST,CAMP0565,57
CI_0215,hexMLST,CAMP0138,23
CI_0215,hexMLST,CAMP1208,
CI_0215,hexMLST,CAMP1430,56
CI_0215,hexMLST,CAMP1432,
CI_0215,hexMLST,CAMP1019,53
CI_0215,hexMLST,CAMP1537,67
CI_0215,hexMLST,CAMP0182,
CI_0215,hexMLST,CAMP0028,49
CI_0215,hexMLST,CAMP0024,67
CI_0215,hexMLST,CAMP1124,59
CI_0215,hexMLST,CAMP0338,3
CI_0215,hexMLST,CAMP1211,
CI_0215,hexMLST,CAMP1042,47
CI_0215,hexMLST,CAMP1048,39
CI_0215,hexMLST,CAMP0104,4
CI_0215,hexMLST,CAMP1355,
CI_0215,hexMLST,CAMP0100,52
CI_0215,hexMLST,CAMP1357,60
CI_0215,hexMLST,CAMP0111,
CI_0215,hexMLST,CAMP1529,3
CI_0215,hexMLST,CAMP0532,3
CI_0215,hexMLST,CAMP0633,6
CI_0215,hexMLST,CAMP0535,6
CI_0215,hexMLST,CAMP0905,48
CI_0215,hexMLST,CAMP1116,17
CI_0215,hexMLST,CAMP1262,58
CI_0215,hexMLST,CAMP1053,54
CI_0215,hexMLST,CAMP0059,75
CI_0215,hexMLST,CAMP1198,64
CI_0215,hexMLST,CAMP0399,60
CI_0215,hexMLST,CAMP0117,57
CI_0215,hexMLST,CAMP0502,61
CI_0215,hexMLST,CAMP0052,6
CI_0215,hexMLST,CAMP0501,54
CI_0215,hexMLST,CAMP1197,43
CI_0215,hexMLST,CAMP0504,6
CI_0215,hexMLST,CAMP0505,83
CI_0215,hexMLST,CAMP0918,52
CI_0215,hexMLST,CAMP0626,67
CI_0215,hexMLST,CAMP0857,55
CI_0215,hexMLST,CAMP1294,51
CI_0215,hexMLST,CAMP1104,37
CI_0215,hexMLST,CAMP0597,58
CI_0215,hexMLST,CAMP1100,18
CI_0215,hexMLST,CAMP1581,42
CI_0215,hexMLST,CAMP0455,58
CI_0215,hexMLST,CAMP1275,64
CI_0215,hexMLST,CAMP0355,58
CI_0215,hexMLST,CAMP1185,
CI_0215,hexMLST,CAMP0041,35
CI_0215,hexMLST,CAMP1186,18
CI_0215,hexMLST,CAMP1372,56
CI_0215,hexMLST,CAMP0757,
CI_0215,hexMLST,CAMP0755,16
CI_0215,hexMLST,CAMP1502,6
CI_0215,hexMLST,CAMP0969,63
CI_0215,hexMLST,CAMP1508,3
CI_0215,hexMLST,CAMP0614,49
CI_0215,hexMLST,CAMP0967,57
CI_0215,hexMLST,CAMP1503,5
CI_0215,hexMLST,CAMP0847,14
CI_4383,hexMLST,CAMP1074,3
CI_4383,hexMLST,CAMP0367,13
CI_4383,hexMLST,CAMP0768,14
CI_4383,hexMLST,CAMP1364,14
CI_4383,hexMLST,CAMP1571,
CI_4383,hexMLST,CAMP1578,14
CI_4383,hexMLST,CAMP0972,13
CI_4383,hexMLST,CAMP0471,13
CI_4383,hexMLST,CAMP0374,14
CI_4383,hexMLST,CAMP0273,13
CI_4383,hexMLST,CAMP1311,13
CI_4383,hexMLST,CAMP1313,7
CI_4383,hexMLST,CAMP0775,13
CI_4383,hexMLST,CAMP1322,36
CI_4383,hexMLST,CAMP1319,14
CI_4383,hexMLST,CAMP1567,14
CI_4383,hexMLST,CAMP1085,66
CI_4383,hexMLST,CAMP0572,41
CI_4383,hexMLST,CAMP0867,13
CI_4383,hexMLST,CAMP1568,14
CI_4383,hexMLST,CAMP0881,13
CI_4383,hexMLST,CAMP0015,39
CI_4383,hexMLST,CAMP1301,35
CI_4383,hexMLST,CAMP1158,14
CI_4383,hexMLST,CAMP0950,17
CI_4383,hexMLST,CAMP1411,33
CI_4383,hexMLST,CAMP1416,13
CI_4383,hexMLST,CAMP0540,37
CI_4383,hexMLST,CAMP1022,3
CI_4383,hexMLST,CAMP0319,5
CI_4383,hexMLST,CAMP0792,13
CI_4383,hexMLST,CAMP0791,13
CI_4383,hexMLST,CAMP1541,14
CI_4383,hexMLST,CAMP0556,13
CI_4383,hexMLST,CAMP0351,36
CI_4383,hexMLST,CAMP0496,14
CI_4383,hexMLST,CAMP1384,14
CI_4383,hexMLST,CAMP1280,14
CI_4383,hexMLST,CAMP0565,11
CI_4383,hexMLST,CAMP0138,45
CI_4383,hexMLST,CAMP1208,1
CI_4383,hexMLST,CAMP1430,14
CI_4383,hexMLST,CAMP1432,13
CI_4383,hexMLST,CAMP1019,12
CI_4383,hexMLST,CAMP1537,13
CI_4383,hexMLST,CAMP0182,14
CI_4383,hexMLST,CAMP0028,10
CI_4383,hexMLST,CAMP0024,21
CI_4383,hexMLST,CAMP1124,14
CI_4383,hexMLST,CAMP0338,37
CI_4383,hexMLST,CAMP1211,14
CI_4383,hexMLST,CAMP1042,1
CI_4383,hexMLST,CAMP1048,1
CI_4383,hexMLST,CAMP0104,14
CI_4383,hexMLST,CAMP1355,3
CI_4383,hexMLST,CAMP0100,14
CI_4383,hexMLST,CAMP1357,13
CI_4383,hexMLST,CAMP0111,13
CI_4383,hexMLST,CAMP1529,13
CI_4383,hexMLST,CAMP0532,37
CI_4383,hexMLST,CAMP0633,28
CI_4383,hexMLST,CAMP0535,14
CI_4383,hexMLST,CAMP0905,14
CI_4383,hexMLST,CAMP1116,1
CI_4383,hexMLST,CAMP1262,13
CI_4383,hexMLST,CAMP1053,14
CI_4383,hexMLST,CAMP0059,1
CI_4383,hexMLST,CAMP1198,14
CI_4383,hexMLST,CAMP0399,14
CI_4383,hexMLST,CAMP0117,37
CI_4383,hexMLST,CAMP0502,14
CI_4383,hexMLST,CAMP0052,13
CI_4383,hexMLST,CAMP0501,14
CI_4383,hexMLST,CAMP1197,11
CI_4383,hexMLST,CAMP0504,14
CI_4383,hexMLST,CAMP0505,14
CI_4383,hexMLST,CAMP0918,14
CI_4383,hexMLST,CAMP0626,43
CI_4383,hexMLST,CAMP0857,14
CI_4383,hexMLST,CAMP1294,
CI_4383,hexMLST,CAMP1104,27
CI_4383,hexMLST,CAMP0597,39
CI_4383,hexMLST,CAMP1100,39
CI_4383,hexMLST,CAMP1581,14
CI_4383,hexMLST,CAMP0455,14
CI_4383,hexMLST,CAMP1275,12
CI_4383,hexMLST,CAMP0355,72
CI_4383,hexMLST,CAMP1185,14
CI_4383,hexMLST,CAMP0041,3
CI_4383,hexMLST,CAMP1186,14
CI_4383,hexMLST,CAMP1372,14
CI_4383,hexMLST,CAMP0757,14
CI_4383,hexMLST,CAMP0755,14
CI_4383,hexMLST,CAMP1502,13
CI_4383,hexMLST,CAMP0969,14
CI_4383,hexMLST,CAMP1508,13
CI_4383,hexMLST,CAMP0614,34
CI_4383,hexMLST,CAMP0967,14
CI_4383,hexMLST,CAMP1503,13
CI_4383,hexMLST,CAMP0847,
CE_M_09_3081,hexMLST,CAMP1074,
CE_M_09_3081,hexMLST,CAMP0367,54
CE_M_09_3081,hexMLST,CAMP0768,3
CE_M_09_3081,hexMLST,CAMP1364,76
CE_M_09_3081,hexMLST,CAMP1571,3
CE_M_09_3081,hexMLST,CAMP1578,42
CE_M_09_3081,hexMLST,CAMP0972,2
CE_M_09_3081,hexMLST,CAMP0471,58
CE_M_09_3081,hexMLST,CAMP0374,47
CE_M_09_3081,hexMLST,CAMP0273,69
CE_M_09_3081,hexMLST,CAMP1311,63
CE_M_09_3081,hexMLST,CAMP1313,52
CE_M_09_3081,hexMLST,CAMP0775,3
CE_M_09_3081,hexMLST,CAMP1322,78
CE_M_09_3081,hexMLST,CAMP1319,58
CE_M_09_3081,hexMLST,CAMP1567,60
CE_M_09_3081,hexMLST,CAMP1085,54
CE_M_09_3081,hexMLST,CAMP0572,69
CE_M_09_3081,hexMLST,CAMP0867,
CE_M_09_3081,hexMLST,CAMP1568,52
CE_M_09_3081,hexMLST,CAMP0881,15
CE_M_09_3081,hexMLST,CAMP0015,63
CE_M_09_3081,hexMLST,CAMP1301,62
CE_M_09_3081,hexMLST,CAMP1158,56
CE_M_09_3081,hexMLST,CAMP0950,
CE_M_09_3081,hexMLST,CAMP1411,15
CE_M_09_3081,hexMLST,CAMP1416,43
CE_M_09_3081,hexMLST,CAMP0540,26
CE_M_09_3081,hexMLST,CAMP1022,
CE_M_09_3081,hexMLST,CAMP0319,3
CE_M_09_3081,hexMLST,CAMP0792,17
CE_M_09_3081,hexMLST,CAMP0791,3
CE_M_09_3081,hexMLST,CAMP1541,69
CE_M_09_3081,hexMLST,CAMP0556,52
CE_M_09_3081,hexMLST,CAMP0351,57
CE_M_09_3081,hexMLST,CAMP0496,19
CE_M_09_3081,hexMLST,CAMP1384,73
CE_M_09_3081,hexMLST,CAMP1280,
CE_M_09_3081,hexMLST,CAMP0565,65
CE_M_09_3081,hexMLST,CAMP0138,63
CE_M_09_3081,hexMLST,CAMP1208,60
CE_M_09_3081,hexMLST,CAMP1430,54
CE_M_09_3081,hexMLST,CAMP1432,53
CE_M_09_3081,hexMLST,CAMP1019,20
CE_M_09_3081,hexMLST,CAMP1537,44
CE_M_09_3081,hexMLST,CAMP0182,64
CE_M_09_3081,hexMLST,CAMP0028,38
CE_M_09_3081,hexMLST,CAMP0024,71
CE_M_09_3081,hexMLST,CAMP1124,3
CE_M_09_3081,hexMLST,CAMP0338,3
CE_M_09_3081,hexMLST,CAMP1211,66
CE_M_09_3081,hexMLST,CAMP1042,29
CE_M_09_3081,hexMLST,CAMP1048,54
CE_M_09_3081,hexMLST,CAMP0104,60
CE_M_09_3081,hexMLST,CAMP1355,
CE_M_09_3081,hexMLST,CAMP0100,55
CE_M_09_3081,hexMLST,CAMP1357,5
CE_M_09_3081,hexMLST,CAMP0111,40
CE_M_09_3081,hexMLST,CAMP1529,62
CE_M_09_3081,hexMLST,CAMP0532,17
CE_M_09_3081,hexMLST,CAMP0633,3
CE_M_09_3081,hexMLST,CAMP0535,3
CE_M_09_3081,hexMLST,CAMP0905,51
CE_M_09_3081,hexMLST,CAMP1116,48
CE_M_09_3081,hexMLST,CAMP1262,3
CE_M_09_3081,hexMLST,CAMP1053,58
CE_M_09_3081,hexMLST,CAMP0059,60
CE_M_09_3081,hexMLST,CAMP1198,65
CE_M_09_3081,hexMLST,CAMP0399,56
CE_M_09_3081,hexMLST,CAMP0117,62
CE_M_09_3081,hexMLST,CAMP0502,68
CE_M_09_3081,hexMLST,CAMP0052,52
CE_M_09_3081,hexMLST,CAMP0501,66
CE_M_09_3081,hexMLST,CAMP1197,44
CE_M_09_3081,hexMLST,CAMP0504,59
CE_M_09_3081,hexMLST,CAMP0505,51
CE_M_09_3081,hexMLST,CAMP0918,6
CE_M_09_3081,hexMLST,CAMP0626,19
CE_M_09_3081,hexMLST,CAMP0857,55
CE_M_09_3081,hexMLST,CAMP1294,18
CE_M_09_3081,hexMLST,CAMP1104,44
CE_M_09_3081,hexMLST,CAMP0597,17
CE_M_09_3081,hexMLST,CAMP1100,19
CE_M_09_3081,hexMLST,CAMP1581,3
CE_M_09_3081,hexMLST,CAMP0455,66
CE_M_09_3081,hexMLST,CAMP1275,61
CE_M_09_3081,hexMLST,CAMP0355,65
CE_M_09_3081,hexMLST,CAMP1185,78
CE_M_09_3081,hexMLST,CAMP0041,1
CE_M_09_3081,hexMLST,CAMP1186,18
CE_M_09_3081,hexMLST,CAMP1372,60
CE_M_09_3081,hexMLST,CAMP0757,72
CE_M_09_3081,hexMLST,CAMP0755,16
CE_M_09_3081,hexMLST,CAMP1502,3
CE_M_09_3081,hexMLST,CAMP0969,22
CE_M_09_3081,hexMLST,CAMP1508,3
CE_M_09_3081,hexMLST,CAMP0614,6
CE_M_09_3081,hexMLST,CAMP0967,66
CE_M_09_3081,hexMLST,CAMP1503,17
CE_M_09_3081,hexMLST,CAMP0847,15
CI_5889,hexMLST,CAMP1074,3
CI_5889,hexMLST,CAMP0367,13
CI_5889,hexMLST,CAMP0768,14
CI_5889,hexMLST,CAMP1364,14
CI_5889,hexMLST,CAMP1571,
CI_5889,hexMLST,CAMP1578,14
CI_5889,hexMLST,CAMP0972,13
CI_5889,hexMLST,CAMP0471,
CI_5889,hexMLST,CAMP0374,14
CI_5889,hexMLST,CAMP0273,13
CI_5889,hexMLST,CAMP1311,13
CI_5889,hexMLST,CAMP1313,7
CI_5889,hexMLST,CAMP0775,13
CI_5889,hexMLST,CAMP1322,36
CI_5889,hexMLST,CAMP1319,14
CI_5889,hexMLST,CAMP1567,14
CI_5889,hexMLST,CAMP1085,66
CI_5889,hexMLST,CAMP0572,41
CI_5889,hexMLST,CAMP0867,13
CI_5889,hexMLST,CAMP1568,14
CI_5889,hexMLST,CAMP0881,13
CI_5889,hexMLST,CAMP0015,39
CI_5889,hexMLST,CAMP1301,35
CI_5889,hexMLST,CAMP1158,14
CI_5889,hexMLST,CAMP0950,17
CI_5889,hexMLST,CAMP1411,33
CI_5889,hexMLST,CAMP1416,13
CI_5889,hexMLST,CAMP0540,37
CI_5889,hexMLST,CAMP1022,3
CI_5889,hexMLST,CAMP0319,5
CI_5889,hexMLST,CAMP0792,13
CI_5889,hexMLST,CAMP0791,13
CI_5889,hexMLST,CAMP1541,14
CI_5889,hexMLST,CAMP0556,13
CI_5889,hexMLST,CAMP0351,36
CI_5889,hexMLST,CAMP0496,14
CI_5889,hexMLST,CAMP1384,14
CI_5889,hexMLST,CAMP1280,14
CI_5889,hexMLST,CAMP0565,1
CI_5889,hexMLST,CAMP0138,45
CI_5889,hexMLST,CAMP1208,1
CI_5889,hexMLST,CAMP1430,14
CI_5889,hexMLST,CAMP1432,13
CI_5889,hexMLST,CAMP1019,34
CI_5889,hexMLST,CAMP1537,13
CI_5889,hexMLST,CAMP0182,14
CI_5889,hexMLST,CAMP0028,10
CI_5889,hexMLST,CAMP0024,21
CI_5889,hexMLST,CAMP1124,14
CI_5889,hexMLST,CAMP0338,37
CI_5889,hexMLST,CAMP1211,14
CI_5889,hexMLST,CAMP1042,1
CI_5889,hexMLST,CAMP1048,1
CI_5889,hexMLST,CAMP0104,14
CI_5889,hexMLST,CAMP1355,3
CI_5889,hexMLST,CAMP0100,14
CI_5889,hexMLST,CAMP1357,13
CI_5889,hexMLST,CAMP0111,13
CI_5889,hexMLST,CAMP1529,
CI_5889,hexMLST,CAMP0532,37
CI_5889,hexMLST,CAMP0633,28
CI_5889,hexMLST,CAMP0535,14
CI_5889,hexMLST,CAMP0905,14
CI_5889,hexMLST,CAMP1116,1
CI_5889,hexMLST,CAMP1262,13
CI_5889,hexMLST,CAMP1053,14
CI_5889,hexMLST,CAMP0059,1
CI_5889,hexMLST,CAMP1198,14
CI_5889,hexMLST,CAMP0399,14
CI_5889,hexMLST,CAMP0117,37
CI_5889,hexMLST,CAMP0502,14
CI_5889,hexMLST,CAMP0052,13
CI_5889,hexMLST,CAMP0501,14
CI_5889,hexMLST,CAMP1197,11
CI_5889,hexMLST,CAMP0504,14
CI_5889,hexMLST,CAMP0505,14
CI_5889,hexMLST,CAMP0918,14
CI_5889,hexMLST,CAMP0626,43
CI_5889,hexMLST,CAMP0857,14
CI_5889,hexMLST,CAMP1294,
CI_5889,hexMLST,CAMP1104,27
CI_5889,hexMLST,CAMP0597,39
CI_5889,hexMLST,CAMP1100,39
CI_5889,hexMLST,CAMP1581,14
CI_5889,hexMLST,CAMP0455,14
CI_5889,hexMLST,CAMP1275,12
CI_5889,hexMLST,CAMP0355,72
CI_5889,hexMLST,CAMP1185,14
CI_5889,hexMLST,CAMP0041,3
CI_5889,hexMLST,CAMP1186,14
CI_5889,hexMLST,CAMP1372,14
CI_5889,hexMLST,CAMP0757,14
CI_5889,hexMLST,CAMP0755,14
CI_5889,hexMLST,CAMP1502,13
CI_5889,hexMLST,CAMP0969,14
CI_5889,hexMLST,CAMP1508,13
CI_5889,hexMLST,CAMP0614,34
CI_5889,hexMLST,CAMP0967,14
CI_5889,hexMLST,CAMP1503,13
CI_5889,hexMLST,CAMP0847,
CGY_HR_103,hexMLST,CAMP1074,33
CGY_HR_103,hexMLST,CAMP0367,20
CGY_HR_103,hexMLST,CAMP0768,5
CGY_HR_103,hexMLST,CAMP1364,
CGY_HR_103,hexMLST,CAMP1571,5
CGY_HR_103,hexMLST,CAMP1578,5
CGY_HR_103,hexMLST,CAMP0972,41
CGY_HR_103,hexMLST,CAMP0471,5
CGY_HR_103,hexMLST,CAMP0374,5
CGY_HR_103,hexMLST,CAMP0273,45
CGY_HR_103,hexMLST,CAMP1311,26
CGY_HR_103,hexMLST,CAMP1313,22
CGY_HR_103,hexMLST,CAMP0775,5
CGY_HR_103,hexMLST,CAMP1322,47
CGY_HR_103,hexMLST,CAMP1319,27
CGY_HR_103,hexMLST,CAMP1567,5
CGY_HR_103,hexMLST,CAMP1085,
CGY_HR_103,hexMLST,CAMP0572,20
CGY_HR_103,hexMLST,CAMP0867,5
CGY_HR_103,hexMLST,CAMP1568,5
CGY_HR_103,hexMLST,CAMP0881,4
CGY_HR_103,hexMLST,CAMP0015,
CGY_HR_103,hexMLST,CAMP1301,5
CGY_HR_103,hexMLST,CAMP1158,25
CGY_HR_103,hexMLST,CAMP0950,2
CGY_HR_103,hexMLST,CAMP1411,5
CGY_HR_103,hexMLST,CAMP1416,33
CGY_HR_103,hexMLST,CAMP0540,49
CGY_HR_103,hexMLST,CAMP1022,2
CGY_HR_103,hexMLST,CAMP0319,5
CGY_HR_103,hexMLST,CAMP0792,19
CGY_HR_103,hexMLST,CAMP0791,25
CGY_HR_103,hexMLST,CAMP1541,5
CGY_HR_103,hexMLST,CAMP0556,47
CGY_HR_103,hexMLST,CAMP0351,5
CGY_HR_103,hexMLST,CAMP0496,45
CGY_HR_103,hexMLST,CAMP1384,5
CGY_HR_103,hexMLST,CAMP1280,5
CGY_HR_103,hexMLST,CAMP0565,
CGY_HR_103,hexMLST,CAMP0138,30
CGY_HR_103,hexMLST,CAMP1208,41
CGY_HR_103,hexMLST,CAMP1430,40
CGY_HR_103,hexMLST,CAMP1432,40
CGY_HR_103,hexMLST,CAMP1019,44
CGY_HR_103,hexMLST,CAMP1537,5
CGY_HR_103,hexMLST,CAMP0182,2
CGY_HR_103,hexMLST,CAMP0028,15
CGY_HR_103,hexMLST,CAMP0024,23
CGY_HR_103,hexMLST,CAMP1124,48
CGY_HR_103,hexMLST,CAMP0338,5
CGY_HR_103,hexMLST,CAMP1211,1
CGY_HR_103,hexMLST,CAMP1042,5
CGY_HR_103,hexMLST,CAMP1048,4
CGY_HR_103,hexMLST,CAMP0104,42
CGY_HR_103,hexMLST,CAMP1355,41
CGY_HR_103,hexMLST,CAMP0100,43
CGY_HR_103,hexMLST,CAMP1357,45
CGY_HR_103,hexMLST,CAMP0111,2
CGY_HR_103,hexMLST,CAMP1529,23
CGY_HR_103,hexMLST,CAMP0532,23
CGY_HR_103,hexMLST,CAMP0633,5
CGY_HR_103,hexMLST,CAMP0535,5
CGY_HR_103,hexMLST,CAMP0905,5
CGY_HR_103,hexMLST,CAMP1116,5
CGY_HR_103,hexMLST,CAMP1262,27
CGY_HR_103,hexMLST,CAMP1053,5
CGY_HR_103,hexMLST,CAMP0059,43
CGY_HR_103,hexMLST,CAMP1198,5
CGY_HR_103,hexMLST,CAMP0399,5
CGY_HR_103,hexMLST,CAMP0117,44
CGY_HR_103,hexMLST,CAMP0502,28
CGY_HR_103,hexMLST,CAMP0052,2
CGY_HR_103,hexMLST,CAMP0501,25
CGY_HR_103,hexMLST,CAMP1197,3
CGY_HR_103,hexMLST,CAMP0504,25
CGY_HR_103,hexMLST,CAMP0505,21
CGY_HR_103,hexMLST,CAMP0918,26
CGY_HR_103,hexMLST,CAMP0626,5
CGY_HR_103,hexMLST,CAMP0857,24
CGY_HR_103,hexMLST,CAMP1294,5
CGY_HR_103,hexMLST,CAMP1104,3
CGY_HR_103,hexMLST,CAMP0597,5
CGY_HR_103,hexMLST,CAMP1100,5
CGY_HR_103,hexMLST,CAMP1581,5
CGY_HR_103,hexMLST,CAMP0455,5
CGY_HR_103,hexMLST,CAMP1275,3
CGY_HR_103,hexMLST,CAMP0355,4
CGY_HR_103,hexMLST,CAMP1185,
CGY_HR_103,hexMLST,CAMP0041,2
CGY_HR_103,hexMLST,CAMP1186,41
CGY_HR_103,hexMLST,CAMP1372,5
CGY_HR_103,hexMLST,CAMP0757,29
CGY_HR_103,hexMLST,CAMP0755,19
CGY_HR_103,hexMLST,CAMP1502,33
CGY_HR_103,hexMLST,CAMP0969,54
CGY_HR_103,hexMLST,CAMP1508,5
CGY_HR_103,hexMLST,CAMP0614,5
CGY_HR_103,hexMLST,CAMP0967,5
CGY_HR_103,hexMLST,CAMP1503,4
CGY_HR_103,hexMLST,CAMP0847,4
06_4734,hexMLST,CAMP1074,27
06_4734,hexMLST,CAMP0367,36
06_4734,hexMLST,CAMP0768,35
06_4734,hexMLST,CAMP1364,24
06_4734,hexMLST,CAMP1571,39
06_4734,hexMLST,CAMP1578,33
06_4734,hexMLST,CAMP0972,37
06_4734,hexMLST,CAMP0471,40
06_4734,hexMLST,CAMP0374,38
06_4734,hexMLST,CAMP0273,36
06_4734,hexMLST,CAMP1311,42
06_4734,hexMLST,CAMP1313,34
06_4734,hexMLST,CAMP0775,41
06_4734,hexMLST,CAMP1322,40
06_4734,hexMLST,CAMP1319,36
06_4734,hexMLST,CAMP1567,1
06_4734,hexMLST,CAMP1085,32
06_4734,hexMLST,CAMP0572,1
06_4734,hexMLST,CAMP0867,32
06_4734,hexMLST,CAMP1568,1
06_4734,hexMLST,CAMP0881,43
06_4734,hexMLST,CAMP0015,1
06_4734,hexMLST,CAMP1301,1
06_4734,hexMLST,CAMP1158,41
06_4734,hexMLST,CAMP0950,18
06_4734,hexMLST,CAMP1411,20
06_4734,hexMLST,CAMP1416,20
06_4734,hexMLST,CAMP0540,42
06_4734,hexMLST,CAMP1022,
06_4734,hexMLST,CAMP0319,23
06_4734,hexMLST,CAMP0792,39
06_4734,hexMLST,CAMP0791,37
06_4734,hexMLST,CAMP1541,25
06_4734,hexMLST,CAMP0556,1
06_4734,hexMLST,CAMP0351,1
06_4734,hexMLST,CAMP0496,38
06_4734,hexMLST,CAMP1384,43
06_4734,hexMLST,CAMP1280,39
06_4734,hexMLST,CAMP0565,41
06_4734,hexMLST,CAMP0138,41
06_4734,hexMLST,CAMP1208,30
06_4734,hexMLST,CAMP1430,1
06_4734,hexMLST,CAMP1432,1
06_4734,hexMLST,CAMP1019,39
06_4734,hexMLST,CAMP1537,38
06_4734,hexMLST,CAMP0182,41
06_4734,hexMLST,CAMP0028,24
06_4734,hexMLST,CAMP0024,42
06_4734,hexMLST,CAMP1124,20
06_4734,hexMLST,CAMP0338,1
06_4734,hexMLST,CAMP1211,43
06_4734,hexMLST,CAMP1042,36
06_4734,hexMLST,CAMP1048,1
06_4734,hexMLST,CAMP0104,35
06_4734,hexMLST,CAMP1355,33
06_4734,hexMLST,CAMP0100,14
06_4734,hexMLST,CAMP1357,39
06_4734,hexMLST,CAMP0111,1
06_4734,hexMLST,CAMP1529,35
06_4734,hexMLST,CAMP0532,42
06_4734,hexMLST,CAMP0633,14
06_4734,hexMLST,CAMP0535,
06_4734,hexMLST,CAMP0905,36
06_4734,hexMLST,CAMP1116,1
06_4734,hexMLST,CAMP1262,41
06_4734,hexMLST,CAMP1053,40
06_4734,hexMLST,CAMP0059,39
06_4734,hexMLST,CAMP1198,1
06_4734,hexMLST,CAMP0399,38
06_4734,hexMLST,CAMP0117,1
