Strain	Test	Marker	Call
OXC6379	MLST	aspA	2
OXC6379	MLST	glnA	1
OXC6379	MLST	pgm	2
OXC6379	MLST	tkt	1
OXC6379	MLST	glyA	
OXC6379	MLST	uncA	5
OXC6379	MLST	gltA	5
OXC6378	MLST	aspA	33
OXC6378	MLST	glnA	39
OXC6378	MLST	pgm	113
OXC6378	MLST	tkt	47
OXC6378	MLST	glyA	139
OXC6378	MLST	uncA	17
OXC6378	MLST	gltA	30
OXC6377	MLST	aspA	2
OXC6377	MLST	glnA	4
OXC6377	MLST	pgm	7
OXC6377	MLST	tkt	1
OXC6377	MLST	glyA	2
OXC6377	MLST	uncA	5
OXC6377	MLST	gltA	1
OXC6376	MLST	aspA	33
OXC6376	MLST	glnA	110
OXC6376	MLST	pgm	104
OXC6376	MLST	tkt	43
OXC6376	MLST	glyA	115
OXC6376	MLST	uncA	17
OXC6376	MLST	gltA	30
OXC6375	MLST	aspA	9
OXC6375	MLST	glnA	2
OXC6375	MLST	pgm	4
OXC6375	MLST	tkt	5
OXC6375	MLST	glyA	62
OXC6375	MLST	uncA	6
OXC6375	MLST	gltA	4
OXC6374	MLST	aspA	
OXC6374	MLST	glnA	112
OXC6374	MLST	pgm	13
OXC6374	MLST	tkt	1
OXC6374	MLST	glyA	2
OXC6374	MLST	uncA	26
OXC6374	MLST	gltA	5
OXC6373	MLST	aspA	4
OXC6373	MLST	glnA	7
OXC6373	MLST	pgm	42
OXC6373	MLST	tkt	51
OXC6373	MLST	glyA	4
OXC6373	MLST	uncA	1
OXC6373	MLST	gltA	40
OXC6372	MLST	aspA	33
OXC6372	MLST	glnA	39
OXC6372	MLST	pgm	113
OXC6372	MLST	tkt	47
OXC6372	MLST	glyA	139
OXC6372	MLST	uncA	17
OXC6372	MLST	gltA	30
OXC6371	MLST	aspA	33
OXC6371	MLST	glnA	110
OXC6371	MLST	pgm	104
OXC6371	MLST	tkt	43
OXC6371	MLST	glyA	115
OXC6371	MLST	uncA	17
OXC6371	MLST	gltA	30
OXC6370	MLST	aspA	2
OXC6370	MLST	glnA	1
OXC6370	MLST	pgm	2
OXC6370	MLST	tkt	1
OXC6370	MLST	glyA	3
OXC6370	MLST	uncA	5
OXC6370	MLST	gltA	5
C8	MLST	aspA	4
C8	MLST	glnA	7
C8	MLST	pgm	1
C8	MLST	tkt	7
C8	MLST	glyA	4
C8	MLST	uncA	1
C8	MLST	gltA	10
OXC7498	MLST	aspA	7
OXC7498	MLST	glnA	4
OXC7498	MLST	pgm	11
OXC7498	MLST	tkt	3
OXC7498	MLST	glyA	2
OXC7498	MLST	uncA	5
OXC7498	MLST	gltA	2
OXC5710	MLST	aspA	2
OXC5710	MLST	glnA	1
OXC5710	MLST	pgm	2
OXC5710	MLST	tkt	1
OXC5710	MLST	glyA	3
OXC5710	MLST	uncA	5
OXC5710	MLST	gltA	1
OXC5711	MLST	aspA	2
OXC5711	MLST	glnA	4
OXC5711	MLST	pgm	7
OXC5711	MLST	tkt	1
OXC5711	MLST	glyA	2
OXC5711	MLST	uncA	5
OXC5711	MLST	gltA	1
OXC5712	MLST	aspA	2
OXC5712	MLST	glnA	4
OXC5712	MLST	pgm	7
OXC5712	MLST	tkt	1
OXC5712	MLST	glyA	2
OXC5712	MLST	uncA	5
OXC5712	MLST	gltA	1
OXC5713	MLST	aspA	2
OXC5713	MLST	glnA	1
OXC5713	MLST	pgm	2
OXC5713	MLST	tkt	1
OXC5713	MLST	glyA	3
OXC5713	MLST	uncA	5
OXC5713	MLST	gltA	1
OXC5715	MLST	aspA	24
OXC5715	MLST	glnA	2
OXC5715	MLST	pgm	10
OXC5715	MLST	tkt	3
OXC5715	MLST	glyA	2
OXC5715	MLST	uncA	3
OXC5715	MLST	gltA	2
OXC5716	MLST	aspA	2
OXC5716	MLST	glnA	4
OXC5716	MLST	pgm	6
OXC5716	MLST	tkt	1
OXC5716	MLST	glyA	2
OXC5716	MLST	uncA	5
OXC5716	MLST	gltA	2
CE_R_11_0114	MLST	aspA	4
CE_R_11_0114	MLST	glnA	7
CE_R_11_0114	MLST	pgm	1
CE_R_11_0114	MLST	tkt	7
CE_R_11_0114	MLST	glyA	4
CE_R_11_0114	MLST	uncA	1
CE_R_11_0114	MLST	gltA	10
OXC5848	MLST	aspA	2
OXC5848	MLST	glnA	1
OXC5848	MLST	pgm	2
OXC5848	MLST	tkt	1
OXC5848	MLST	glyA	3
OXC5848	MLST	uncA	5
OXC5848	MLST	gltA	1
OXC7496	MLST	aspA	4
OXC7496	MLST	glnA	7
OXC7496	MLST	pgm	1
OXC7496	MLST	tkt	7
OXC7496	MLST	glyA	4
OXC7496	MLST	uncA	1
OXC7496	MLST	gltA	10
OXC4616	MLST	aspA	2
OXC4616	MLST	glnA	4
OXC4616	MLST	pgm	19
OXC4616	MLST	tkt	3
OXC4616	MLST	glyA	4
OXC4616	MLST	uncA	6
OXC4616	MLST	gltA	2
OXC4617	MLST	aspA	33
OXC4617	MLST	glnA	39
OXC4617	MLST	pgm	
OXC4617	MLST	tkt	43
OXC4617	MLST	glyA	82
OXC4617	MLST	uncA	17
OXC4617	MLST	gltA	30
CE_R2_11_0134	MLST	aspA	4
CE_R2_11_0134	MLST	glnA	7
CE_R2_11_0134	MLST	pgm	1
CE_R2_11_0134	MLST	tkt	7
CE_R2_11_0134	MLST	glyA	4
CE_R2_11_0134	MLST	uncA	1
CE_R2_11_0134	MLST	gltA	10
CGY_HR_174	MLST	aspA	2
CGY_HR_174	MLST	glnA	1
CGY_HR_174	MLST	pgm	2
CGY_HR_174	MLST	tkt	1
CGY_HR_174	MLST	glyA	3
CGY_HR_174	MLST	uncA	5
CGY_HR_174	MLST	gltA	2
OXC4610	MLST	aspA	9
OXC4610	MLST	glnA	2
OXC4610	MLST	pgm	11
OXC4610	MLST	tkt	3
OXC4610	MLST	glyA	2
OXC4610	MLST	uncA	1
OXC4610	MLST	gltA	5
OXC4611	MLST	aspA	33
OXC4611	MLST	glnA	39
OXC4611	MLST	pgm	
OXC4611	MLST	tkt	43
OXC4611	MLST	glyA	82
OXC4611	MLST	uncA	17
OXC4611	MLST	gltA	30
OXC6289	MLST	aspA	2
OXC6289	MLST	glnA	1
OXC6289	MLST	pgm	2
OXC6289	MLST	tkt	1
OXC6289	MLST	glyA	3
OXC6289	MLST	uncA	5
OXC6289	MLST	gltA	12
OXC6288	MLST	aspA	24
OXC6288	MLST	glnA	2
OXC6288	MLST	pgm	10
OXC6288	MLST	tkt	3
OXC6288	MLST	glyA	2
OXC6288	MLST	uncA	1
OXC6288	MLST	gltA	2
CI_2061	MLST	aspA	4
CI_2061	MLST	glnA	7
CI_2061	MLST	pgm	1
CI_2061	MLST	tkt	7
CI_2061	MLST	glyA	4
CI_2061	MLST	uncA	1
CI_2061	MLST	gltA	10
OXC6283	MLST	aspA	1
OXC6283	MLST	glnA	4
OXC6283	MLST	pgm	6
OXC6283	MLST	tkt	3
OXC6283	MLST	glyA	2
OXC6283	MLST	uncA	17
OXC6283	MLST	gltA	2
OXC6282	MLST	aspA	2
OXC6282	MLST	glnA	1
OXC6282	MLST	pgm	2
OXC6282	MLST	tkt	1
OXC6282	MLST	glyA	3
OXC6282	MLST	uncA	5
OXC6282	MLST	gltA	21
OXC6281	MLST	aspA	9
OXC6281	MLST	glnA	17
OXC6281	MLST	pgm	350
OXC6281	MLST	tkt	3
OXC6281	MLST	glyA	10
OXC6281	MLST	uncA	3
OXC6281	MLST	gltA	5
OXC7492	MLST	aspA	9
OXC7492	MLST	glnA	2
OXC7492	MLST	pgm	11
OXC7492	MLST	tkt	5
OXC7492	MLST	glyA	2
OXC7492	MLST	uncA	6
OXC7492	MLST	gltA	2
OXC6287	MLST	aspA	8
OXC6287	MLST	glnA	10
OXC6287	MLST	pgm	11
OXC6287	MLST	tkt	
OXC6287	MLST	glyA	2
OXC6287	MLST	uncA	6
OXC6287	MLST	gltA	2
OXC6286	MLST	aspA	2
OXC6286	MLST	glnA	1
OXC6286	MLST	pgm	2
OXC6286	MLST	tkt	1
OXC6286	MLST	glyA	3
OXC6286	MLST	uncA	5
OXC6286	MLST	gltA	12
OXC6285	MLST	aspA	2
OXC6285	MLST	glnA	1
OXC6285	MLST	pgm	2
OXC6285	MLST	tkt	1
OXC6285	MLST	glyA	3
OXC6285	MLST	uncA	5
OXC6285	MLST	gltA	1
OXC6284	MLST	aspA	2
OXC6284	MLST	glnA	4
OXC6284	MLST	pgm	7
OXC6284	MLST	tkt	1
OXC6284	MLST	glyA	2
OXC6284	MLST	uncA	5
OXC6284	MLST	gltA	1
OXC7473	MLST	aspA	1
OXC7473	MLST	glnA	6
OXC7473	MLST	pgm	12
OXC7473	MLST	tkt	28
OXC7473	MLST	glyA	24
OXC7473	MLST	uncA	1
OXC7473	MLST	gltA	60
OXC6755	MLST	aspA	1
OXC6755	MLST	glnA	3
OXC6755	MLST	pgm	3
OXC6755	MLST	tkt	3
OXC6755	MLST	glyA	4
OXC6755	MLST	uncA	3
OXC6755	MLST	gltA	6
OXC6754	MLST	aspA	6
OXC6754	MLST	glnA	4
OXC6754	MLST	pgm	2
OXC6754	MLST	tkt	1
OXC6754	MLST	glyA	2
OXC6754	MLST	uncA	5
OXC6754	MLST	gltA	5
OXC6757	MLST	aspA	7
OXC6757	MLST	glnA	2
OXC6757	MLST	pgm	10
OXC6757	MLST	tkt	3
OXC6757	MLST	glyA	2
OXC6757	MLST	uncA	6
OXC6757	MLST	gltA	5
OXC6756	MLST	aspA	24
OXC6756	MLST	glnA	2
OXC6756	MLST	pgm	10
OXC6756	MLST	tkt	3
OXC6756	MLST	glyA	2
OXC6756	MLST	uncA	1
OXC6756	MLST	gltA	2
OXC6751	MLST	aspA	8
OXC6751	MLST	glnA	1
OXC6751	MLST	pgm	2
OXC6751	MLST	tkt	1
OXC6751	MLST	glyA	3
OXC6751	MLST	uncA	12
OXC6751	MLST	gltA	6
OXC6750	MLST	aspA	9
OXC6750	MLST	glnA	2
OXC6750	MLST	pgm	11
OXC6750	MLST	tkt	5
OXC6750	MLST	glyA	2
OXC6750	MLST	uncA	6
OXC6750	MLST	gltA	2
OXC6753	MLST	aspA	8
OXC6753	MLST	glnA	10
OXC6753	MLST	pgm	11
OXC6753	MLST	tkt	12
OXC6753	MLST	glyA	2
OXC6753	MLST	uncA	6
OXC6753	MLST	gltA	2
OXC6752	MLST	aspA	8
OXC6752	MLST	glnA	1
OXC6752	MLST	pgm	2
OXC6752	MLST	tkt	1
OXC6752	MLST	glyA	3
OXC6752	MLST	uncA	12
OXC6752	MLST	gltA	6
OXC6759	MLST	aspA	7
OXC6759	MLST	glnA	17
OXC6759	MLST	pgm	23
OXC6759	MLST	tkt	3
OXC6759	MLST	glyA	15
OXC6759	MLST	uncA	12
OXC6759	MLST	gltA	2
C138	MLST	aspA	33
C138	MLST	glnA	38
C138	MLST	pgm	104
C138	MLST	tkt	85
C138	MLST	glyA	115
C138	MLST	uncA	17
C138	MLST	gltA	30
CAMSA463	MLST	aspA	2
CAMSA463	MLST	glnA	1
CAMSA463	MLST	pgm	2
CAMSA463	MLST	tkt	1
CAMSA463	MLST	glyA	3
CAMSA463	MLST	uncA	5
CAMSA463	MLST	gltA	1
OXC6597	MLST	aspA	33
OXC6597	MLST	glnA	39
OXC6597	MLST	pgm	104
OXC6597	MLST	tkt	35
OXC6597	MLST	glyA	79
OXC6597	MLST	uncA	17
OXC6597	MLST	gltA	30
OXC6596	MLST	aspA	2
OXC6596	MLST	glnA	1
OXC6596	MLST	pgm	2
OXC6596	MLST	tkt	1
OXC6596	MLST	glyA	3
OXC6596	MLST	uncA	5
OXC6596	MLST	gltA	1
OXC6595	MLST	aspA	7
OXC6595	MLST	glnA	28
OXC6595	MLST	pgm	17
OXC6595	MLST	tkt	34
OXC6595	MLST	glyA	28
OXC6595	MLST	uncA	12
OXC6595	MLST	gltA	4
RM4099	MLST	aspA	63
RM4099	MLST	glnA	164
RM4099	MLST	pgm	27
RM4099	MLST	tkt	266
RM4099	MLST	glyA	188
RM4099	MLST	uncA	18
RM4099	MLST	gltA	183
OXC6593	MLST	aspA	22
OXC6593	MLST	glnA	15
OXC6593	MLST	pgm	74
OXC6593	MLST	tkt	25
OXC6593	MLST	glyA	64
OXC6593	MLST	uncA	23
OXC6593	MLST	gltA	4
CI_4108	MLST	aspA	2
CI_4108	MLST	glnA	1
CI_4108	MLST	pgm	2
CI_4108	MLST	tkt	1
CI_4108	MLST	glyA	3
CI_4108	MLST	uncA	6
CI_4108	MLST	gltA	1
OXC6591	MLST	aspA	7
OXC6591	MLST	glnA	2
OXC6591	MLST	pgm	10
OXC6591	MLST	tkt	3
OXC6591	MLST	glyA	2
OXC6591	MLST	uncA	6
OXC6591	MLST	gltA	5
CI_4458	MLST	aspA	1
CI_4458	MLST	glnA	4
CI_4458	MLST	pgm	6
CI_4458	MLST	tkt	3
CI_4458	MLST	glyA	2
CI_4458	MLST	uncA	17
CI_4458	MLST	gltA	2
CAMSA260	MLST	aspA	2
CAMSA260	MLST	glnA	1
CAMSA260	MLST	pgm	2
CAMSA260	MLST	tkt	1
CAMSA260	MLST	glyA	3
CAMSA260	MLST	uncA	5
CAMSA260	MLST	gltA	1
OXC6599	MLST	aspA	2
OXC6599	MLST	glnA	61
OXC6599	MLST	pgm	332
OXC6599	MLST	tkt	7
OXC6599	MLST	glyA	64
OXC6599	MLST	uncA	23
OXC6599	MLST	gltA	4
CI_4102	MLST	aspA	37
CI_4102	MLST	glnA	4
CI_4102	MLST	pgm	13
CI_4102	MLST	tkt	25
CI_4102	MLST	glyA	48
CI_4102	MLST	uncA	57
CI_4102	MLST	gltA	4
CJ6656_R	MLST	aspA	2
CJ6656_R	MLST	glnA	1
CJ6656_R	MLST	pgm	2
CJ6656_R	MLST	tkt	1
CJ6656_R	MLST	glyA	3
CJ6656_R	MLST	uncA	5
CJ6656_R	MLST	gltA	21
CAMSA2075	MLST	aspA	2
CAMSA2075	MLST	glnA	1
CAMSA2075	MLST	pgm	2
CAMSA2075	MLST	tkt	1
CAMSA2075	MLST	glyA	3
CAMSA2075	MLST	uncA	5
CAMSA2075	MLST	gltA	1
OXC6621	MLST	aspA	24
OXC6621	MLST	glnA	2
OXC6621	MLST	pgm	10
OXC6621	MLST	tkt	3
OXC6621	MLST	glyA	2
OXC6621	MLST	uncA	1
OXC6621	MLST	gltA	2
OXC6620	MLST	aspA	7
OXC6620	MLST	glnA	17
OXC6620	MLST	pgm	23
OXC6620	MLST	tkt	3
OXC6620	MLST	glyA	15
OXC6620	MLST	uncA	12
OXC6620	MLST	gltA	2
OXC6623	MLST	aspA	2
OXC6623	MLST	glnA	21
OXC6623	MLST	pgm	59
OXC6623	MLST	tkt	1
OXC6623	MLST	glyA	2
OXC6623	MLST	uncA	5
OXC6623	MLST	gltA	5
OXC6622	MLST	aspA	7
OXC6622	MLST	glnA	2
OXC6622	MLST	pgm	10
OXC6622	MLST	tkt	3
OXC6622	MLST	glyA	2
OXC6622	MLST	uncA	6
OXC6622	MLST	gltA	1
OXC6625	MLST	aspA	2
OXC6625	MLST	glnA	1
OXC6625	MLST	pgm	2
OXC6625	MLST	tkt	1
OXC6625	MLST	glyA	3
OXC6625	MLST	uncA	5
OXC6625	MLST	gltA	1
OXC6624	MLST	aspA	4
OXC6624	MLST	glnA	7
OXC6624	MLST	pgm	1
OXC6624	MLST	tkt	7
OXC6624	MLST	glyA	4
OXC6624	MLST	uncA	1
OXC6624	MLST	gltA	10
OXC6627	MLST	aspA	2
OXC6627	MLST	glnA	1
OXC6627	MLST	pgm	2
OXC6627	MLST	tkt	1
OXC6627	MLST	glyA	3
OXC6627	MLST	uncA	5
OXC6627	MLST	gltA	1
OXC6626	MLST	aspA	1
OXC6626	MLST	glnA	3
OXC6626	MLST	pgm	3
OXC6626	MLST	tkt	3
OXC6626	MLST	glyA	4
OXC6626	MLST	uncA	3
OXC6626	MLST	gltA	6
OXC6629	MLST	aspA	2
OXC6629	MLST	glnA	1
OXC6629	MLST	pgm	2
OXC6629	MLST	tkt	1
OXC6629	MLST	glyA	3
OXC6629	MLST	uncA	5
OXC6629	MLST	gltA	1
OXC6628	MLST	aspA	7
OXC6628	MLST	glnA	1
OXC6628	MLST	pgm	2
OXC6628	MLST	tkt	3
OXC6628	MLST	glyA	83
OXC6628	MLST	uncA	6
OXC6628	MLST	gltA	2
OXC7472	MLST	aspA	1
OXC7472	MLST	glnA	4
OXC7472	MLST	pgm	6
OXC7472	MLST	tkt	3
OXC7472	MLST	glyA	2
OXC7472	MLST	uncA	17
OXC7472	MLST	gltA	2
OXC6979	MLST	aspA	2
OXC6979	MLST	glnA	1
OXC6979	MLST	pgm	2
OXC6979	MLST	tkt	1
OXC6979	MLST	glyA	3
OXC6979	MLST	uncA	5
OXC6979	MLST	gltA	1
OXC6978	MLST	aspA	1
OXC6978	MLST	glnA	4
OXC6978	MLST	pgm	6
OXC6978	MLST	tkt	3
OXC6978	MLST	glyA	2
OXC6978	MLST	uncA	17
OXC6978	MLST	gltA	2
OXC7152	MLST	aspA	4
OXC7152	MLST	glnA	7
OXC7152	MLST	pgm	42
OXC7152	MLST	tkt	51
OXC7152	MLST	glyA	4
OXC7152	MLST	uncA	1
OXC7152	MLST	gltA	40
OXC7153	MLST	aspA	2
OXC7153	MLST	glnA	1
OXC7153	MLST	pgm	2
OXC7153	MLST	tkt	1
OXC7153	MLST	glyA	3
OXC7153	MLST	uncA	5
OXC7153	MLST	gltA	1
OXC7154	MLST	aspA	33
OXC7154	MLST	glnA	39
OXC7154	MLST	pgm	104
OXC7154	MLST	tkt	43
OXC7154	MLST	glyA	82
OXC7154	MLST	uncA	17
OXC7154	MLST	gltA	30
OXC7155	MLST	aspA	4
OXC7155	MLST	glnA	7
OXC7155	MLST	pgm	42
OXC7155	MLST	tkt	51
OXC7155	MLST	glyA	4
OXC7155	MLST	uncA	1
OXC7155	MLST	gltA	40
OXC7156	MLST	aspA	1
OXC7156	MLST	glnA	2
OXC7156	MLST	pgm	5
OXC7156	MLST	tkt	9
OXC7156	MLST	glyA	4
OXC7156	MLST	uncA	3
OXC7156	MLST	gltA	3
OXC7157	MLST	aspA	7
OXC7157	MLST	glnA	17
OXC7157	MLST	pgm	23
OXC7157	MLST	tkt	3
OXC7157	MLST	glyA	15
OXC7157	MLST	uncA	12
OXC7157	MLST	gltA	2
OXC6971	MLST	aspA	24
OXC6971	MLST	glnA	2
OXC6971	MLST	pgm	10
OXC6971	MLST	tkt	3
OXC6971	MLST	glyA	2
OXC6971	MLST	uncA	3
OXC6971	MLST	gltA	2
OXC6970	MLST	aspA	4
OXC6970	MLST	glnA	7
OXC6970	MLST	pgm	42
OXC6970	MLST	tkt	51
OXC6970	MLST	glyA	4
OXC6970	MLST	uncA	1
OXC6970	MLST	gltA	10
OXC6973	MLST	aspA	2
OXC6973	MLST	glnA	4
OXC6973	MLST	pgm	7
OXC6973	MLST	tkt	1
OXC6973	MLST	glyA	2
OXC6973	MLST	uncA	5
OXC6973	MLST	gltA	1
OXC7409	MLST	aspA	8
OXC7409	MLST	glnA	10
OXC7409	MLST	pgm	11
OXC7409	MLST	tkt	12
OXC7409	MLST	glyA	2
OXC7409	MLST	uncA	6
OXC7409	MLST	gltA	2
OXC6975	MLST	aspA	9
OXC6975	MLST	glnA	2
OXC6975	MLST	pgm	4
OXC6975	MLST	tkt	5
OXC6975	MLST	glyA	62
OXC6975	MLST	uncA	6
OXC6975	MLST	gltA	4
OXC6974	MLST	aspA	9
OXC6974	MLST	glnA	2
OXC6974	MLST	pgm	4
OXC6974	MLST	tkt	5
OXC6974	MLST	glyA	62
OXC6974	MLST	uncA	6
OXC6974	MLST	gltA	4
OXC6977	MLST	aspA	7
OXC6977	MLST	glnA	2
OXC6977	MLST	pgm	10
OXC6977	MLST	tkt	3
OXC6977	MLST	glyA	2
OXC6977	MLST	uncA	6
OXC6977	MLST	gltA	5
OXC6976	MLST	aspA	7
OXC6976	MLST	glnA	53
OXC6976	MLST	pgm	11
OXC6976	MLST	tkt	3
OXC6976	MLST	glyA	10
OXC6976	MLST	uncA	3
OXC6976	MLST	gltA	2
OXC7392	MLST	aspA	4
OXC7392	MLST	glnA	7
OXC7392	MLST	pgm	42
OXC7392	MLST	tkt	51
OXC7392	MLST	glyA	4
OXC7392	MLST	uncA	1
OXC7392	MLST	gltA	40
OXC7393	MLST	aspA	4
OXC7393	MLST	glnA	7
OXC7393	MLST	pgm	42
OXC7393	MLST	tkt	51
OXC7393	MLST	glyA	4
OXC7393	MLST	uncA	1
OXC7393	MLST	gltA	40
OXC7390	MLST	aspA	9
OXC7390	MLST	glnA	2
OXC7390	MLST	pgm	4
OXC7390	MLST	tkt	5
OXC7390	MLST	glyA	62
OXC7390	MLST	uncA	12
OXC7390	MLST	gltA	4
OXC7391	MLST	aspA	4
OXC7391	MLST	glnA	7
OXC7391	MLST	pgm	42
OXC7391	MLST	tkt	51
OXC7391	MLST	glyA	4
OXC7391	MLST	uncA	1
OXC7391	MLST	gltA	40
OXC7397	MLST	aspA	2
OXC7397	MLST	glnA	1
OXC7397	MLST	pgm	2
OXC7397	MLST	tkt	1
OXC7397	MLST	glyA	3
OXC7397	MLST	uncA	5
OXC7397	MLST	gltA	1
OXC7394	MLST	aspA	33
OXC7394	MLST	glnA	39
OXC7394	MLST	pgm	104
OXC7394	MLST	tkt	56
OXC7394	MLST	glyA	82
OXC7394	MLST	uncA	17
OXC7394	MLST	gltA	30
OXC7395	MLST	aspA	9
OXC7395	MLST	glnA	53
OXC7395	MLST	pgm	11
OXC7395	MLST	tkt	3
OXC7395	MLST	glyA	10
OXC7395	MLST	uncA	3
OXC7395	MLST	gltA	2
OXC7398	MLST	aspA	2
OXC7398	MLST	glnA	1
OXC7398	MLST	pgm	2
OXC7398	MLST	tkt	1
OXC7398	MLST	glyA	3
OXC7398	MLST	uncA	5
OXC7398	MLST	gltA	21
07_4269	MLST	aspA	4
07_4269	MLST	glnA	7
07_4269	MLST	pgm	42
07_4269	MLST	tkt	51
07_4269	MLST	glyA	4
07_4269	MLST	uncA	1
07_4269	MLST	gltA	40
07_4268	MLST	aspA	1
07_4268	MLST	glnA	1
07_4268	MLST	pgm	225
07_4268	MLST	tkt	3
07_4268	MLST	glyA	2
07_4268	MLST	uncA	17
07_4268	MLST	gltA	2
CAMSA8	MLST	aspA	2
CAMSA8	MLST	glnA	1
CAMSA8	MLST	pgm	2
CAMSA8	MLST	tkt	1
CAMSA8	MLST	glyA	3
CAMSA8	MLST	uncA	5
CAMSA8	MLST	gltA	1
CI_4071	MLST	aspA	4
CI_4071	MLST	glnA	7
CI_4071	MLST	pgm	1
CI_4071	MLST	tkt	7
CI_4071	MLST	glyA	4
CI_4071	MLST	uncA	1
CI_4071	MLST	gltA	10
OXC6726	MLST	aspA	7
OXC6726	MLST	glnA	17
OXC6726	MLST	pgm	23
OXC6726	MLST	tkt	3
OXC6726	MLST	glyA	15
OXC6726	MLST	uncA	12
OXC6726	MLST	gltA	2
CI_4079	MLST	aspA	2
CI_4079	MLST	glnA	4
CI_4079	MLST	pgm	13
CI_4079	MLST	tkt	25
CI_4079	MLST	glyA	48
CI_4079	MLST	uncA	57
CI_4079	MLST	gltA	4
CI_5300	MLST	aspA	2
CI_5300	MLST	glnA	1
CI_5300	MLST	pgm	2
CI_5300	MLST	tkt	1
CI_5300	MLST	glyA	3
CI_5300	MLST	uncA	6
CI_5300	MLST	gltA	1
OXC6576	MLST	aspA	33
OXC6576	MLST	glnA	39
OXC6576	MLST	pgm	104
OXC6576	MLST	tkt	35
OXC6576	MLST	glyA	79
OXC6576	MLST	uncA	17
OXC6576	MLST	gltA	30
CE_R_11_0270	MLST	aspA	2
CE_R_11_0270	MLST	glnA	1
CE_R_11_0270	MLST	pgm	2
CE_R_11_0270	MLST	tkt	1
CE_R_11_0270	MLST	glyA	3
CE_R_11_0270	MLST	uncA	5
CE_R_11_0270	MLST	gltA	1
OXC7089	MLST	aspA	2
OXC7089	MLST	glnA	1
OXC7089	MLST	pgm	2
OXC7089	MLST	tkt	1
OXC7089	MLST	glyA	3
OXC7089	MLST	uncA	5
OXC7089	MLST	gltA	21
OXC7086	MLST	aspA	4
OXC7086	MLST	glnA	7
OXC7086	MLST	pgm	42
OXC7086	MLST	tkt	51
OXC7086	MLST	glyA	4
OXC7086	MLST	uncA	1
OXC7086	MLST	gltA	40
OXC7087	MLST	aspA	7
OXC7087	MLST	glnA	17
OXC7087	MLST	pgm	23
OXC7087	MLST	tkt	3
OXC7087	MLST	glyA	15
OXC7087	MLST	uncA	12
OXC7087	MLST	gltA	2
OXC7084	MLST	aspA	2
OXC7084	MLST	glnA	1
OXC7084	MLST	pgm	2
OXC7084	MLST	tkt	1
OXC7084	MLST	glyA	3
OXC7084	MLST	uncA	5
OXC7084	MLST	gltA	1
OXC7085	MLST	aspA	1
OXC7085	MLST	glnA	3
OXC7085	MLST	pgm	3
OXC7085	MLST	tkt	3
OXC7085	MLST	glyA	4
OXC7085	MLST	uncA	3
OXC7085	MLST	gltA	6
OXC7082	MLST	aspA	33
OXC7082	MLST	glnA	39
OXC7082	MLST	pgm	113
OXC7082	MLST	tkt	47
OXC7082	MLST	glyA	82
OXC7082	MLST	uncA	17
OXC7082	MLST	gltA	30
OXC7083	MLST	aspA	33
OXC7083	MLST	glnA	39
OXC7083	MLST	pgm	104
OXC7083	MLST	tkt	35
OXC7083	MLST	glyA	79
OXC7083	MLST	uncA	17
OXC7083	MLST	gltA	30
OXC7080	MLST	aspA	2
OXC7080	MLST	glnA	1
OXC7080	MLST	pgm	2
OXC7080	MLST	tkt	1
OXC7080	MLST	glyA	3
OXC7080	MLST	uncA	5
OXC7080	MLST	gltA	12
OXC7081	MLST	aspA	2
OXC7081	MLST	glnA	4
OXC7081	MLST	pgm	7
OXC7081	MLST	tkt	1
OXC7081	MLST	glyA	2
OXC7081	MLST	uncA	5
OXC7081	MLST	gltA	1
08_6208	MLST	aspA	2
08_6208	MLST	glnA	1
08_6208	MLST	pgm	2
08_6208	MLST	tkt	1
08_6208	MLST	glyA	3
08_6208	MLST	uncA	5
08_6208	MLST	gltA	2
OXC30	MLST	aspA	2
OXC30	MLST	glnA	1
OXC30	MLST	pgm	2
OXC30	MLST	tkt	1
OXC30	MLST	glyA	3
OXC30	MLST	uncA	5
OXC30	MLST	gltA	12
OXC39	MLST	aspA	2
OXC39	MLST	glnA	1
OXC39	MLST	pgm	2
OXC39	MLST	tkt	1
OXC39	MLST	glyA	3
OXC39	MLST	uncA	5
OXC39	MLST	gltA	21
OXC7106	MLST	aspA	9
OXC7106	MLST	glnA	2
OXC7106	MLST	pgm	4
OXC7106	MLST	tkt	5
OXC7106	MLST	glyA	62
OXC7106	MLST	uncA	6
OXC7106	MLST	gltA	4
OXC6870	MLST	aspA	2
OXC6870	MLST	glnA	4
OXC6870	MLST	pgm	7
OXC6870	MLST	tkt	1
OXC6870	MLST	glyA	2
OXC6870	MLST	uncA	5
OXC6870	MLST	gltA	1
OXC7411	MLST	aspA	33
OXC7411	MLST	glnA	42
OXC7411	MLST	pgm	189
OXC7411	MLST	tkt	35
OXC7411	MLST	glyA	82
OXC7411	MLST	uncA	17
OXC7411	MLST	gltA	30
OXC5480	MLST	aspA	7
OXC5480	MLST	glnA	17
OXC5480	MLST	pgm	86
OXC5480	MLST	tkt	3
OXC5480	MLST	glyA	2
OXC5480	MLST	uncA	1
OXC5480	MLST	gltA	5
OXC5482	MLST	aspA	33
OXC5482	MLST	glnA	39
OXC5482	MLST	pgm	104
OXC5482	MLST	tkt	85
OXC5482	MLST	glyA	79
OXC5482	MLST	uncA	17
OXC5482	MLST	gltA	65
OXC5483	MLST	aspA	2
