genome,hexMLST
OXC5651,483
OXC5652,618
CI_4424,321
CGY_HR_076,220
CGY_HR_074,221
CGY_HR_073,221
08_0100,47
OXC6698,1058
OXC6699,1059
OXC6694,574
OXC6695,1056
OXC6696,347
OXC6697,1057
OXC6690,581
OXC6691,1054
OXC6692,338
OXC6693,1055
CGY_HR_108,229
CGY_HR_109,230
CAMSA301,123
OXC6458,916
OXC6459,543
OXC6456,915
OXC6457,635
OXC6454,637
CGY_HR_101,227
OXC6453,913
OXC6450,911
OXC6451,912
OXC7309,1375
OXC7308,1374
OXC7305,345
OXC7304,1367
CI_4990,328
OXC7306,1372
OXC7301,497
OXC7300,1370
OXC7303,1371
OXC7302,345
CI_3986,316
CAMSA2175,128
CAMSA3889,158
CAMSA3888,111
OXC5763,670
CAMSA418,110
CI_4353,320
CI_4356,321
CI_0325,251
OXC4656,433
CAMSA416,118
CI_0322,250
OXC5762,669
OXC7419,1440
OXC7019,1223
OXC7018,1222
OXC7011,1099
OXC7010,1218
OXC7013,1219
OXC7012,346
6873,64
OXC7014,1220
OXC7017,1221
OXC7016,346
OXC6614,846
OXC4659,435
OXC7418,1439
OXC5349,520
OXC5348,519
OXC7499,543
OXC6528,959
OXC5343,516
OXC5342,414
OXC5341,515
CI_0182,247
OXC7491,1481
OXC5346,518
OXC7493,1477
OXC5344,517
OXC7275,1359
OXC7274,1358
OXC7277,1361
OXC7276,1360
OXC7271,1357
OXC7270,403
OXC7273,419
OXC7272,497
OXC7279,1362
OXC7278,852
OXC7477,1474
OXC7476,1473
OXC7475,1472
OXC7474,1471
CAMSA4206,165
CE_M_09_3081,191
OXC7471,1433
OXC7470,390
OXC7479,1476
OXC7478,1475
CAMSA3797,154
OXC6779,337
OXC6871,1149
OXC6872,133
OXC6873,1150
OXC6874,1151
OXC6875,1152
OXC6876,1153
OXC6877,625
OXC6878,1154
OXC6879,102
CI_1874,280
CI_1875,281
OXC7415,133
F79015,359
OXC7414,1437
HM908538,84
OXC7417,543
HM905080,84
OXC7416,1438
ARI_1433_R,81
OXC6949,345
OXC7412,1436
06_3245,3
06_7331,14
06_7332,15
OXC7149,1284
OXC6947,1187
OXC6940,574
OXC6941,797
OXC6410,881
ARI_1129_R,75
OXC7029,343
ARI_814_R,84
OXC7382,1419
OXC5435,565
OXC5434,449
OXC5437,566
OXC5431,563
OXC5433,564
OXC6666,983
OXC5439,568
OXC5438,567
HM904280,84
OXC6511,946
81116,69
OXC7388,1424
C258_cj_R,92
CAMSA40,160
CAMSA48,98
C4B30,95
OXC1550,373
OXC5646,615
OXC5647,616
OXC5645,614
OXC5642,612
OXC5643,613
OXC5640,609
OXC5641,361
OXC5648,617
OXC5649,395
OXC4744,460
OXC4745,461
OXC4746,462
OXC4747,463
OXC4740,347
OXC4741,459
OXC4742,446
OXC4743,433
OXC6517,433
OXC6516,951
OXC6515,950
OXC6514,949
OXC4748,463
OXC4749,460
CI_3421,308
OXC6510,946
dfvf1912,349
CGY_HR_061,220
OXC6412,347
OXC6413,883
CI_3252,305
CE_M_10_4091,193
OXC4623,414
OXC5334,511
OXC6417,887
OXC5422,560
OXC6414,884
OXC4620,411
OXC6578R,990
CI_2605,293
OXC6429,82
OXC6428,897
CAMSA311,136
OXC6423,892
OXC6422,891
OXC6421,890
OXC6420,395
OXC6427,896
OXC6426,895
OXC6425,894
OXC6424,893
CAMSA3943,125
OXC7312,1378
OXC7313,574
OXC7310,1376
OXC7311,1377
CAMSA2147,127
OXC7314,1099
OXC7315,1379
OXC4629,417
OXC4628,416
OXC4595,401
OXC4596,402
OXC4590,392
OXC4593,387
OXC4592,400
CAMSA3897,159
OXC4599,73
OXC4598,81
OXC6737,1079
OXC6736,1067
OXC6735,1078
OXC6734,1077
CI_3643,310
OXC6732,1075
OXC6731,84
OXC6730,937
CI_4360,322
CI_0334,252
OXC123,371
OXC7006,1215
OXC7007,1216
CE2_R_11_3021,184
OXC7005,1214
OXC7002,1212
OXC7003,627
OXC7000,395
OXC7001,1213
OXC7008,1217
OXC7009,956
CI_4383,323
07_0675,19
UCT047_R,1510
OXC5358,524
OXC7488,343
08_1714,33
08_1711,7
OXC5350,521
CI_1117,273
OXC5353,522
OXC7486,1480
OXC5355,523
OXC7484,1479
OXC7485,783
OXC7262,1351
OXC7263,1352
OXC7260,1350
OXC7261,1301
OXC7266,1353
OXC7267,1354
OXC7264,543
OXC7265,1265
OXC7268,1355
OXC7269,1356
OXC7466,1467
OXC7464,1066
OXC7465,1466
OXC6999,387
OXC6998,1212
OXC7461,1464
OXC7462,1465
CI_0609,258
OXC6993,1099
OXC6992,1209
OXC6991,1208
Dg145,350
OXC6996,497
OXC6995,1209
OXC6994,1210
CAMSA3786,110
OXC6849,341
OXC6848,1099
OXC6845,133
OXC6844,1137
OXC6847,1139
OXC6846,1138
OXC6841,574
OXC6840,1134
OXC6843,1136
OXC6842,1135
CI_5943,335
CI_5947,335
OXC7097,1259
OXC7513,1301
HM235411,84
OXC6861,345
CJ7256_R,78
HM905980,84
OXC5420,559
OXC5421,411
OXC5426,561
OXC5427,472
CHR_090,238
OXC6661,1038
OXC5428,562
CJ6947_R,344
HM301572,362
CAMSA141,109
CAMSA148,110
CAMSA1000,99
CAMSA1006,101
CAMSA1004,100
CAMSA1008,102
OXC6359,684
CAMSA2200,129
CAMSA2201,129
OXC6358,846
OXC5633,606
OXC5632,605
OXC5631,604
OXC5630,604
07_5425,37
OXC5635,608
OXC5634,607
OXC5639,611
OXC5638,610
ARI_1232_R,78
CGY_HR_058,219
OXC4770,460
OXC4773,471
OXC4775,472
07_3647,28
OXC4776,473
OXC4779,474
OXC4778,447
OXC6506,942
OXC6507,943
OXC6500,92
OXC6501,491
OXC6502,345
OXC6503,939
06_3849,6
OXC6468,920
OXC7356,1403
OXC5941,777
OXC6357,419
HM908265,84
OXC5748,662
CAMSA322,101
OXC5745,661
OXC5744,660
OXC5743,659
OXC5742,658
OXC5741,433
OXC5740,657
OXC6438,85
OXC6430,898
OXC6431,899
OXC6432,900
OXC6433,901
OXC6434,902
CGY_HR_121,231
NCTC11168,367
CJ7015_R,345
CI_0292,249
CAMSA2153,118
OXC7424,1034
OXC4582,396
OXC4580,394
OXC4581,395
OXC4587,391
OXC4584,397
OXC4585,398
OXC4589,399
OXC6724,1070
OXC6725,1071
CI_4378,321
OXC6727,1073
OXC6720,1068
OXC6721,1069
OXC6722,414
OXC6723,746
OXC6728,395
OXC6729,1074
OXC7073,133
OXC7072,1244
OXC7071,1243
OXC7070,1242
OXC7077,1248
06_4911,9
OXC7075,1246
OXC7074,1245
OXC7079,1250
OXC7078,1249
CAMSA3845,118
CAMSA3844,101
CI_4395,322
OXC5364,526
OXC5363,525
OXC5368,527
CI_0453,256
CE_R_11_0178,208
08_1700,49
CE_R_11_0170,207
8808,70
08_1709,50
OXC7299,1369
OXC7298,1368
OXC7297,1367
CAMSA4221,167
OXC7295,1167
HM115771,85
OXC7293,345
OXC7292,1365
OXC7291,347
OXC7290,574
OXC6988,1207
OXC6989,361
OXC7453,1458
OXC7452,1457
OXC7455,1460
OXC7454,1459
OXC7109,1068
OXC7108,637
OXC6980,574
Dg153,351
OXC6982,1203
OXC6983,1167
CI_0677,226
OXC6985,1205
OXC6986,1167
OXC6987,1206
Dg62a,358
OXC6858,1143
OXC6859,1144
CE2_R_11_3039,186
ARI_1331_R,79
CE2_R_11_3035,185
OXC6850,342
OXC6851,1140
OXC6856,97
CE_M_09_2085,189
OXC6854,797
OXC5636,609
HM331258,84
ARI_1332_R,80
OXC5733,654
OXC7175,574
CI_1653,276
OXC5737,656
CHR_159,243
CHR_151,242
OXC6508,944
OXC4774,387
CAMSA4001,156
ARI_1021_R,73
OXC6504,940
OXC6471R_V2,497
OXC6505,941
08_5490,56
OXC6389,866
OXC6801,340
CAMSA25,131
CAMSA26,133
CAMSA153,112
C_389_R,97
C4B19,94
OXC5620,599
OXC7433,1449
OXC5622,600
OXC5623,601
OXC5625,133
OXC5626,596
OXC5627,602
OXC5628,565
OXC5629,603
OXC7431,1447
OXC6539,966
OXC6538,368
OXC7430,1330
OXC4768,470
OXC4766,468
OXC4767,469
OXC6533,962
OXC4765,460
OXC4762,460
OXC4763,467
OXC4760,466
OXC6536,964
06_2855,1
06_3851,5
06_3852,7
OXC6472R_V2,497
OXC6768,1095
CE_M_09_1073,188
OXC6653,1033
OXC6405,877
OXC6404,361
OXC6407,879
OXC6406,878
OXC6401,874
OXC5759,667
OXC6403,876
OXC6402,875
OXC5754,665
OXC5757,665
OXC6409,362
OXC5751,662
OXC7432,1448
OXC5753,664
CGY_HR_130,232
CI_4411,321
CGY_HR_139,232
CAMSA3928,161
HM326144,84
OXC4579,393
OXC4578,392
OXC4577,391
OXC4576,390
OXC4573,389
OXC4571,388
OXC4570,387
CAMSA421,166
OXC6710,1065
OXC6713,983
OXC6712,1066
CI_3889,314
OXC6714,483
OXC6717,625
OXC6716,625
OXC6719,1068
OXC6718,799
OXC7060,1234
OXC7061,1238
OXC7062,1239
OXC7063,1167
OXC7064,1167
OXC7065,983
OXC7066,1167
OXC7067,1240
OXC7068,1241
OXC7069,783
CAMSA3851,129
OXC5372,530
OXC5373,531
OXC5370,528
OXC5371,529
OXC5376,387
OXC5377,533
OXC7436,1450
OXC5375,532
OXC5378,534
OXC5747,662
OXC5172,503
OXC7288,1167
OXC7289,956
OXC7284,1108
OXC7285,1364
OXC7286,574
OXC7287,655
OXC7280,346
OXC7281,1240
OXC7282,1167
OXC7283,1363
OXC7118,656
OXC7119,1167
OXC7448,1455
OXC7449,1456
OXC7114,1167
OXC7115,482
CI_0662,259
OXC7117,1269
OXC7110,1266
OXC7111,482
OXC7112,1267
OXC7113,1268
OXC6576R_V2,989
CI_5034,329
BB2617,87
OXC6881,1030
OXC6880,347
OXC6883,1156
OXC6882,1155
OXC6885,625
OXC6884,1157
OXC6887,1159
OXC6886,1158
OXC6888,1025
OXC7163,700
OXC6762,1091
OXC6435,901
UKZN015_R,1511
OXC6436,903
06_7585,13
08_4603,52
OXC6437,904
OXC6610R,1009
CAMSA4076,128
CI_5997,336
OXC6765,1092
OXC7139,1279
W260a,1513
08_5603,45
CAMSA15,111
CJ6850_R,342
OXC4808,484
OXC4807,483
OXC4803,482
OXC4802,481
OXC4801,480
OXC6526,957
OXC6527,958
OXC6524,543
OXC6525,956
OXC6522,954
OXC5618,133
OXC6520,85
OXC6521,953
OXC5614,596
OXC5617,598
OXC5616,597
OXC5613,595
OXC6529,960
OXC6276,794
OXC4719,448
CI_2439,56
OXC6579,991
OXC6578,990
OXC6575,783
OXC6574,677
OXC6577,985
NS_36_R,369
OXC5769,672
OXC5768,671
OXC4625,415
OXC6411,882
OXC6416,886
OXC4622,413
OXC4621,412
OXC6415,885
OXC5761,668
OXC6571,565
OXC6418,888
OXC6419,889
OXC5765,414
OXC5764,627
OXC5767,390
OXC5766,565
CGY_HR_140,177
CI_2651,56
OXC6279,796
CAMSA182,114
OXC7446,1453
OXC6484R,930
OXC4568,346
OXC4569,386
OXC4564,383
OXC4566,384
OXC4567,385
OXC4560,382
OXC4562,80
CAMSA454,152
CAMSA457,168
OXC6708,1064
OXC6709,361
CAMSA2086,123
OXC6485R_V2,930
OXC6704,1062
OXC6705,1063
CAMSA458,169
OXC6703,78
OXC6700,644
OXC6701,1060
CAMSA3683,148
CAMSA3681,147
OXC7058,581
OXC7055,1236
OXC7054,1235
OXC7057,1237
OXC7056,746
OXC7051,1226
OXC7050,75
OXC7053,1234
OXC7052,750
CI_4806,326
CI_3879,313
OXC7076,1247
OXC7250,1345
OXC5386,539
OXC5385,538
OXC5383,537
OXC5381,536
OXC5380,535
OXC7442,391
OXC7173,1298
CAMSA3916,118
CAMSA3914,160
CJ6752_R,339
CAMSA4243,133
OXC7129,1272
OXC7128,681
OXC7439,1433
OXC7438,1367
OXC7443,1452
OXC7121,574
CI_5198,56
OXC7123,901
OXC7122,1167
OXC7125,1271
OXC7124,1270
OXC7127,1099
OXC4657,434
OXC7440,1066
OXC7404,1431
OXC6566R_V2,783
OXC7441,1451
OXC6898,1123
OXC6899,1165
OXC6896,1163
OXC6897,1164
OXC6894,1162
OXC6895,1163
OXC6892,1121
OXC6893,387
CI_1636,275
OXC6891,1161
CAMSA3669,146
CE2_R2_11_3019,178
07_1875,23
CAMSA3665,144
CAMSA3666,145
CAMSA3914_R,160
